page	raw	simplified	best_site	score
PAGE 1	TS.48.350.32.3A-RODASISALCOMTECALG350X32IMP3A	TS 48 350 32 3A RODASISALCOMTECALG350X32IMP3A	Roda Lisa Sisal/Algodão 1A 150x13	0.41
PAGE 1	TS.48.350.32.4-RODASISALCOMTECALG350X32IMP4	TS 48 350 32 4 RODASISALCOMTECALG350X32IMP4	Roda Lisa Sisal/Algodão 1A 150x13	0.421
PAGE 1	TS.48.350.45.4-RODASISALCOMTECALG350X45IMP4	TS 48 350 45 4 RODASISALCOMTECALG350X45IMP4	Roda Lisa Sisal/Algodão 1A 150x13	0.395
PAGE 1	TS.L1.48.250.50.CH.1D-RODASISALFORROLARANJA250X50CHA	TS L1 48 250 50 CH 1D RODASISALFORROLARANJA250X50CHA	Roda Lisa Sisal/Algodão 1A 150x13	0.353
PAGE 1	TS.L1.48.250.52.CH.2-RODASISALCOMFORROLARANJA250X52C	TS L1 48 250 52 CH 2 RODASISALCOMFORROLARANJA250X52C	Roda Plissada Algodão Rosa 300x32	0.376
PAGE 1	TS.L1.48.300.32.4-RODASISALFORROLARANJA300X32IMP4	TS L1 48 300 32 4 RODASISALFORROLARANJA300X32IMP4	Roda Plissada Algodão Rosa 300x32	0.439
PAGE 1	TS.L1.48.350.32.1D-RODASISALFORROLARANJA350X32IMP1D	TS L1 48 350 32 1D RODASISALFORROLARANJA350X32IMP1D	Roda Plissada Algodão Rosa 300x32	0.405
PAGE 1	TS.L1.48.350.32.4-RODASISALFORROLARANJA350X32IMP4	TS L1 48 350 32 4 RODASISALFORROLARANJA350X32IMP4	Roda Plissada Algodão Rosa 300x32	0.415
PAGE 1	V.A1.16.150.13-RODAVENTILADATECALGRESAMARELO150X13	V A1 16 150 13 RODAVENTILADATECALGRESAMARELO150X13	Roda Ventilada Algodão Amarela 200x13	0.598
PAGE 1	V.A1.16.200.13-RODAVENTILADATECALGRESAMARELO200X13	V A1 16 200 13 RODAVENTILADATECALGRESAMARELO200X13	Roda Ventilada Algodão Amarela 200x13	0.644
PAGE 1	V.A1.16.250.13-RODAVENTILADATECALGRESAMARELO250X13	V A1 16 250 13 RODAVENTILADATECALGRESAMARELO250X13	Roda Ventilada Algodão Amarela 200x13	0.621
PAGE 1	V.A1.16.250.32-RODAVENTILADATECALGRESAMARELO250X32	V A1 16 250 32 RODAVENTILADATECALGRESAMARELO250X32	Roda Ventilada Algodão Amarela 200x13	0.598
PAGE 1	V.A1.16.300.32-RODAVENTILADATECALGRESAMARELO300X32	V A1 16 300 32 RODAVENTILADATECALGRESAMARELO300X32	Roda Ventilada Algodão Amarela 200x13	0.598
PAGE 1	V.A1.16.350.32-RODAVENTILADATECALGRESAMARELO350X32	V A1 16 350 32 RODAVENTILADATECALGRESAMARELO350X32	Roda Ventilada Algodão Amarela 200x13	0.575
PAGE 1	V.C1.16.250.32-RODAVENTILADATECALGCRU250X32	V C1 16 250 32 RODAVENTILADATECALGCRU250X32	Roda Ventilada Algodão Rosa 250x13	0.571
PAGE 1	V.D.16.300.32-RODAVENTILADATECALGRESDURO300X32	V D 16 300 32 RODAVENTILADATECALGRESDURO300X32	Roda Ventilada Algodão Rosa 250x13	0.55
PAGE 1	V.F.14.200.13-RODAVENTILADATECALGFLANELA200X13	V F 14 200 13 RODAVENTILADATECALGFLANELA200X13	Roda Ventilada Flanela 250x13	0.667
PAGE 1	V.F.14.250.13-RODAVENTILADATECALGFLANELA250X13	V F 14 250 13 RODAVENTILADATECALGFLANELA250X13	Roda Ventilada Flanela 250x13	0.693
PAGE 1	V.F.14.300.19-RODAVENTILADATECALGFLANELA300X19	V F 14 300 19 RODAVENTILADATECALGFLANELA300X19	Roda Ventilada Flanela 250x13	0.613
PAGE 1	V.F.14.300.32-RODAVENTILADATECALGFLANELA300X32	V F 14 300 32 RODAVENTILADATECALGFLANELA300X32	Roda Ventilada Flanela 250x13	0.613
PAGE 1	V.F.14.400.32-RODAVENTILADATECALGFLANELA400X32	V F 14 400 32 RODAVENTILADATECALGFLANELA400X32	Roda Ventilada Flanela 250x13	0.613
PAGE 1	V.GB1.14.300.32-RODAVENTILADAGENIALBRANCO300X32	V GB1 14 300 32 RODAVENTILADAGENIALBRANCO300X32	Roda Ventilada Algodão Amarela 200x13	0.5
PAGE 1	V.R.16.150.13-RODAVENTTECALGRESROSAEXTDURO150X13	V R 16 150 13 RODAVENTTECALGRESROSAEXTDURO150X13	Roda Ventilada Algodão Rosa 250x13	0.488
